CD_MUN,NM_MUN,SIGLA_UF,ng_oficial,ng_medio,ng_max,_merge
1100015,Alta Floresta D'Oeste,RO,16,7.897374419722222,9.11323369,both
1100023,Ariquemes,RO,14,6.94165575875,7.64786569,both
1100031,Cabixi,RO,14,6.424304934285715,7.27244083,both
1100049,Cacoal,RO,12,6.333935008,6.86659895,both
1100056,Cerejeiras,RO,18,8.642997051428571,9.61257973,both
1100064,Colorado do Oeste,RO,16,7.3190168875,8.44377766,both
1100072,Corumbiara,RO,16,8.021757178333333,9.47260512,both
1100080,Costa Marques,RO,14,4.835972566875,7.78615046,both
1100098,Espigão D'Oeste,RO,12,6.146952491666667,6.83646357,both
1100106,Guajará-Mirim,RO,18,6.143587028947368,9.61145317,both
1100114,Jaru,RO,14,6.96225061375,8.1015862,both
1100122,Ji-Paraná,RO,16,7.060470381578947,8.94058895,both
1100130,Machadinho D'Oeste,RO,22,7.571895050851063,11.32719829,both
1100148,Nova Brasilândia D'Oeste,RO,14,6.6606503925,7.04656631,both
1100155,Ouro Preto do Oeste,RO,16,7.839450654166666,9.08169011,both
1100189,Pimenta Bueno,RO,14,6.557043492121212,7.83459238,both
1100205,Porto Velho,RO,18,7.995178123870967,10.37018879,both
1100254,Presidente Médici,RO,16,7.481029753750001,8.17847367,both
1100262,Rio Crespo,RO,14,7.645274609,7.8585317,both
1100288,Rolim de Moura,RO,14,6.210041989,7.04543975,both
1100296,Santa Luzia D'Oeste,RO,16,7.294173975,8.19987823,both
1100304,Vilhena,RO,16,7.06369550147541,9.48950346,both
1100320,São Miguel do Guaporé,RO,16,6.995362951951219,8.27732897,both
1100338,Nova Mamoré,RO,18,7.092007685192308,10.09925202,both
1100346,Alvorada D'Oeste,RO,16,7.259313318333333,8.90848209,both
1100379,Alto Alegre dos Parecis,RO,16,8.168462677272727,9.17801067,both
1100403,Alto Paraíso,RO,16,6.904507567333334,8.17453072,both
1100452,Buritis,RO,18,8.096168005238095,9.5849791,both
1100502,Novo Horizonte do Oeste,RO,14,6.775460554,7.2679346,both
1100601,Cacaulândia,RO,12,6.08474727,6.64663885,both
1100700,Campo Novo de Rondônia,RO,16,6.985935677222222,8.02047416,both
1100809,Candeias do Jamari,RO,18,8.320323186571429,9.58666894,both
1100908,Castanheiras,RO,14,6.635795745,7.04994598,both
1100924,Chupinguaia,RO,16,7.608079476666666,9.1760392,both
1100940,Cujubim,RO,16,7.889204754090909,8.4296957,both
1101005,Governador Jorge Teixeira,RO,14,6.131435302173913,7.10514723,both
1101104,Itapuã do Oeste,RO,16,8.05404285,8.81019006,both
1101203,Ministro Andreazza,RO,14,7.111906563333332,7.24061561,both
1101302,Mirante da Serra,RO,16,7.829072256000001,8.55220869,both
1101401,Monte Negro,RO,14,6.96552466875,8.00329417,both
1101435,Nova União,RO,14,7.5525308675,7.75010066,both
1101450,Parecis,RO,14,7.49855366,8.30887255,both
1101468,Pimenteiras do Oeste,RO,16,7.872178392424242,9.37065178,both
1101476,Primavera de Rondônia,RO,12,6.838364635,7.05163581,both
1101484,São Felipe D'Oeste,RO,12,6.5397098866666665,7.04403155,both
1101492,São Francisco do Guaporé,RO,16,6.074782683728814,8.73245769,both
1101500,Seringueiras,RO,14,6.486564104210527,8.10383932,both
1101559,Teixeirópolis,RO,16,8.16636319,8.43166718,both
1101609,Theobroma,RO,14,7.533136177272727,7.92894146,both
1101708,Urupá,RO,16,7.6924350675,7.94555817,both
1101757,Vale do Anari,RO,14,6.659513777857143,7.66589059,both
1101807,Vale do Paraíso,RO,14,7.285879035714286,7.51211566,both
1200013,Acrelândia,AC,14,7.369230783333332,7.48535995,both
1200054,Assis Brasil,AC,14,6.439469045862069,8.10721899,both
1200104,Brasiléia,AC,14,6.311417963999999,7.63462865,both
1200138,Bujari,AC,14,6.170105568823529,7.01643093,both
1200179,Capixaba,AC,10,5.0515917111111115,5.88198882,both
1200203,Cruzeiro do Sul,AC,14,5.524071560408164,7.64166963,both
1200252,Epitaciolândia,AC,12,6.00503948,6.51821144,both
1200302,Feijó,AC,16,5.676229541493506,8.60036897,both
1200328,Jordão,AC,10,4.526920058666667,5.48008989,both
1200336,Mâncio Lima,AC,14,5.514116057407408,7.38228006,both
1200344,Manoel Urbano,AC,14,5.198485419298246,6.75478825,both
1200351,Marechal Thaumaturgo,AC,12,5.18212231627907,6.26248318,both
1200385,Plácido de Castro,AC,14,6.306731803333333,6.99277325,both
1200393,Porto Walter,AC,12,5.776640587297297,7.06402793,both
1200401,Rio Branco,AC,14,5.673305773061225,7.80276717,both
1200427,Rodrigues Alves,AC,14,5.592701037894737,7.81262453,both
1200435,Santa Rosa do Purus,AC,12,5.042818850625,5.97661954,both
1200450,Senador Guiomard,AC,14,7.102537375333333,8.39815213,both
1200500,Sena Madureira,AC,14,5.92653284936,7.9176759,both
1200609,Tarauacá,AC,14,5.279694310761905,8.04469512,both
1200708,Xapuri,AC,12,4.798610033076923,5.48177972,both
1200807,Porto Acre,AC,14,7.189562134545454,7.69715252,both
1300029,Alvarães,AM,20,9.350173898387096,11.46998929,both
1300060,Amaturá,AM,18,8.0875155168,9.31516889,both
1300086,Anamã,AM,22,11.551556297692308,12.25801537,both
1300102,Anori,AM,28,11.8595738,15.98691645,both
1300144,Apuí,AM,24,9.693295361746575,13.30148806,both
1300201,Atalaia do Norte,AM,20,6.80122063068796,11.04161629,both
1300300,Autazes,AM,22,10.101450175365853,12.50022496,both
1300409,Barcelos,AM,20,7.326717134549689,11.75528966,both
1300508,Barreirinha,AM,20,9.287324175,11.37704841,both
1300607,Benjamin Constant,AM,18,7.619221716363636,10.70336779,both
1300631,Beruri,AM,30,13.350057461473686,17.68942453,both
1300680,Boa Vista do Ramos,AM,20,9.96478216909091,10.78194508,both
1300706,Boca do Acre,AM,16,5.926053189051724,8.22353591,both
1300805,Borba,AM,26,10.17623213887446,14.89049561,both
1300839,Caapiranga,AM,24,11.187748305294116,13.71662403,both
1300904,Canutama,AM,18,8.427757643954802,10.48509752,both
1301001,Carauari,AM,20,8.426284506716417,10.77321427,both
1301100,Careiro,AM,26,13.153379056764706,15.20564971,both
1301159,Careiro da Várzea,AM,24,10.82685568076923,11.85498988,both
1301209,Coari,AM,24,10.040958219025974,13.26909957,both
1301308,Codajás,AM,28,11.829903470208334,16.81718838,both
1301407,Eirunepé,AM,14,5.848329515121951,7.43241181,both
1301506,Envira,AM,16,6.967559509999999,9.23715487,both
1301605,Fonte Boa,AM,18,8.21375335796875,10.32287343,both
1301654,Guajará,AM,16,5.523772824871795,8.566009,both
1301704,Humaitá,AM,22,8.981222067877095,12.61006419,both
1301803,Ipixuna,AM,14,6.325345016615385,7.85515203,both
1301852,Iranduba,AM,28,12.750714730999999,14.63842866,both
1301902,Itacoatiara,AM,24,8.561868311702128,12.26674618,both
1301951,Itamarati,AM,16,6.364495010692308,8.64824761,both
1302009,Itapiranga,AM,14,6.3117316086363635,7.5022583,both
1302108,Japurá,AM,20,8.064801169372938,10.5642381,both
1302207,Juruá,AM,20,8.678017899907408,11.05766972,both
1302306,Jutaí,AM,16,7.309978200243902,9.3844521,both
1302405,Lábrea,AM,16,6.49674217154054,9.5337208,both
1302504,Manacapuru,AM,26,12.6240475655,14.45113868,both
1302553,Manaquiri,AM,28,14.543167599047619,16.00916593,both
1302603,Manaus,AM,32,13.61410741516129,18.51772499,both
1302702,Manicoré,AM,24,9.96844656614786,13.25896057,both
1302801,Maraã,AM,22,10.024581713404254,12.2416803,both
1302900,Maués,AM,24,10.916633040233645,13.34486048,both
1303007,Nhamundá,AM,18,5.708206687435897,9.56019487,both
1303106,Nova Olinda do Norte,AM,22,9.72768269862069,11.91948523,both
1303205,Novo Airão,AM,28,10.382255829452737,15.71091018,both
1303304,Novo Aripuanã,AM,22,9.100511908525345,12.34109889,both
1303403,Parintins,AM,20,9.002487930625,11.76486538,both
1303502,Pauini,AM,16,5.979091424553571,8.85525231,both
1303536,Presidente Figueiredo,AM,20,7.92728292288889,10.85742435,both
1303569,Rio Preto da Eva,AM,26,10.061033598333333,14.16358521,both
1303601,Santa Isabel do Rio Negro,AM,20,7.3870105835029936,11.53363972,both
1303700,Santo Antônio do Içá,AM,20,8.04256962,11.62235602,both
1303809,São Gabriel da Cachoeira,AM,20,7.83013301405546,11.91328917,both
1303908,São Paulo de Olivença,AM,18,7.405106362596154,10.20768305,both
1303957,São Sebastião do Uatumã,AM,16,6.056949795172414,8.83074972,both
1304005,Silves,AM,16,7.4643355965,8.61163453,both
1304062,Tabatinga,AM,16,8.356798125555555,9.16280216,both
1304104,Tapauá,AM,24,8.449687068422223,13.70310536,both
1304203,Tefé,AM,22,9.415436793046876,12.58161864,both
1304237,Tonantins,AM,20,8.678272038787878,11.57870197,both
1304260,Uarini,AM,22,9.876425232321427,12.24139866,both
1304302,Urucará,AM,14,5.391974282237762,7.98076305,both
1304401,Urucurituba,AM,18,7.996939693125,9.80831887,both
1400027,Amajari,RR,12,3.846756109133333,6.80069541,both
1400050,Alto Alegre,RR,10,2.9217383243181816,5.16859709,both
1400100,Boa Vista,RR,10,3.1943601284375003,5.13311057,both
1400159,Bonfim,RR,10,3.118440800208333,5.05847622,both
1400175,Cantá,RR,10,4.792134976585365,5.70258474,both
1400209,Caracaraí,RR,20,6.217845085301205,11.38099135,both
1400233,Caroebe,RR,14,4.94279823477612,7.29469031,both
1400282,Iracema,RR,12,3.7194727157142857,5.96000283,both
1400308,Mucajaí,RR,10,4.13494276676923,5.44657484,both
1400407,Normandia,RR,8,1.7878171070270272,3.78631261,both
1400456,Pacaraima,RR,12,3.802278865238095,5.3936267,both
1400472,Rorainópolis,RR,20,7.479810562290503,11.82429122,both
1400506,São João da Baliza,RR,14,6.727989207307692,7.83093107,both
1400605,São Luiz,RR,14,6.405435115714285,7.36510008,both
1400704,Uiramutã,RR,8,2.0650853572093024,3.72463366,both
1500107,Abaetetuba,PA,24,11.62577089625,12.73370373,both
1500131,Abel Figueiredo,PA,14,6.593901935,7.21442318,both
1500206,Acará,PA,24,11.609001636666667,13.75746169,both
1500305,Afuá,PA,20,5.327854152093023,10.72646219,both
1500347,Água Azul do Norte,PA,20,8.179726218157894,10.54677647,both
1500404,Alenquer,PA,16,3.232393587179487,8.90876373,both
1500503,Almeirim,PA,14,2.319312699640103,7.40227643,both
1500602,Altamira,PA,24,7.840615325296857,14.24751365,both
1500701,Anajás,PA,26,11.927532054285715,14.78290949,both
1500800,Ananindeua,PA,24,13.045759799999999,13.18263638,both
1500859,Anapu,PA,12,4.700976604769231,6.78999313,both
1500909,Augusto Corrêa,PA,6,0.9880877883333333,1.35773905,both
1500958,Aurora do Pará,PA,18,8.55451301090909,9.90323123,both
1501006,Aveiro,PA,18,7.63560076032258,10.01926653,both
1501105,Bagre,PA,18,7.4764774915384615,10.17219653,both
1501204,Baião,PA,22,8.727714291578948,12.39263884,both
1501253,Bannach,PA,26,11.755852934117646,14.91190018,both
1501303,Barcarena,PA,24,11.68186233,13.32289263,both
1501402,Belém,PA,24,9.444240044285715,12.8553718,both
1501451,Belterra,PA,16,7.560141827619047,9.74354189,both
1501501,Benevides,PA,22,12.298993849999999,12.79003154,both
1501576,Bom Jesus do Tocantins,PA,14,7.298614484,8.17284088,both
1501600,Bonito,PA,14,6.81355693,7.29947818,both
1501709,Bragança,PA,10,1.9809123941666666,3.56071973,both
1501725,Brasil Novo,PA,8,3.55797945972973,4.12822243,both
1501758,Brejo Grande do Araguaia,PA,12,5.372175188333333,5.540079,both
1501782,Breu Branco,PA,14,7.435160608,8.20213135,both
1501808,Breves,PA,24,10.576716430000001,12.12902468,both
1501907,Bujaru,PA,24,11.375006525,12.5892229,both
1501956,Cachoeira do Piriá,PA,16,6.6679025975,8.06356493,both
1502004,Cachoeira do Arari,PA,14,4.3414419660000005,5.88733996,both
1502103,Cametá,PA,24,11.806547964666667,13.37696733,both
1502152,Canaã dos Carajás,PA,18,6.706721847142857,9.68045474,both
1502202,Capanema,PA,12,3.4466559133333328,4.12906734,both
1502301,Capitão Poço,PA,16,6.270481728000001,7.84275991,both
1502400,Castanhal,PA,18,8.080125308,9.74185206,both
1502509,Chaves,PA,18,2.8831451466666667,9.11154385,both
1502608,Colares,PA,14,6.3030392,6.37401224,both
1502707,Conceição do Araguaia,PA,24,11.793274588387096,13.76562923,both
1502756,Concórdia do Pará,PA,20,10.197450166666668,10.2527453,both
1502764,Cumaru do Norte,PA,28,11.747237202365593,15.49601958,both
1502772,Curionópolis,PA,14,6.308083102727273,7.71292431,both
1502806,Curralinho,PA,20,8.66020985631579,11.10385852,both
1502855,Curuá,PA,16,8.412628374,8.64092499,both
1502905,Curuçá,PA,10,3.177408976666667,3.9138951,both
1502939,Dom Eliseu,PA,12,5.138320893214286,6.08420566,both
1502954,Eldorado do Carajás,PA,14,6.361602525,7.36284696,both
1503002,Faro,PA,16,5.4848953528125,7.93260277,both
1503044,Floresta do Araguaia,PA,20,9.910603551764707,11.75669785,both
1503077,Garrafão do Norte,PA,16,6.690073851111111,8.52742445,both
1503093,Goianésia do Pará,PA,16,6.952313785142857,9.54301488,both
1503101,Gurupá,PA,16,7.062115129583333,9.04507704,both
1503200,Igarapé-Açu,PA,14,6.4512517549999995,7.13725408,both
1503309,Igarapé-Miri,PA,24,13.231667183636365,13.9940385,both
1503408,Inhangapi,PA,20,9.691016205,10.24880235,both
1503457,Ipixuna do Pará,PA,18,6.826144316,9.1039396,both
1503507,Irituia,PA,14,5.8739621025,7.00854503,both
1503606,Itaituba,PA,22,9.26497660641791,12.40700243,both
1503705,Itupiranga,PA,14,4.1306304395,7.03868041,both
1503754,Jacareacanga,PA,26,11.927404138586207,14.85895204,both
1503804,Jacundá,PA,16,8.035964304444445,8.50658316,both
1503903,Juruti,PA,16,6.141140558,8.72034721,both
1504000,Limoeiro do Ajuru,PA,22,9.753892125,11.58067344,both
1504059,Mãe do Rio,PA,14,6.41752548,6.52497078,both
1504109,Magalhães Barata,PA,10,3.87615547,3.87615547,both
1504208,Marabá,PA,14,4.9045147118750005,8.22325428,both
1504307,Maracanã,PA,12,3.68360824,4.45548701,both
1504406,Marapanim,PA,12,4.293215969999999,6.19967767,both
1504422,Marituba,PA,24,13.18263638,13.18263638,both
1504455,Medicilândia,PA,10,3.7727480897674415,5.2688606,both
1504505,Melgaço,PA,20,7.431864178888889,10.94135279,both
1504604,Mocajuba,PA,22,11.186895106666666,11.68516153,both
1504703,Moju,PA,24,9.742202541777779,13.59439268,both
1504752,Mojuí dos Campos,PA,14,4.390699965714286,6.06054798,both
1504802,Monte Alegre,PA,10,3.0176277308421056,5.89522585,both
1504901,Muaná,PA,24,10.37542471409091,12.6072478,both
1504950,Nova Esperança do Piriá,PA,16,7.756036749230769,9.11238877,both
1504976,Nova Ipixuna,PA,14,7.45177449625,7.88190774,both
1505007,Nova Timboteua,PA,14,5.953619016666667,7.30454768,both
1505031,Novo Progresso,PA,30,10.49600634046154,17.09122318,both
1505064,Novo Repartimento,PA,16,4.4376575975294115,9.00677412,both
1505106,Óbidos,PA,16,3.7082436842767295,9.0498649,both
1505205,Oeiras do Pará,PA,22,8.662710601764706,11.30354061,both
1505304,Oriximiná,PA,20,4.284355512912966,10.9976806,both
1505403,Ourém,PA,12,5.810921896666667,6.37316733,both
1505437,Ourilândia do Norte,PA,28,12.133223327236841,14.98625289,both
1505486,Pacajá,PA,12,4.896913551212121,6.72746926,both
1505494,Palestina do Pará,PA,12,5.659662946,5.97746446,both
1505502,Paragominas,PA,16,5.814325680275229,9.01071707,both
1505536,Parauapebas,PA,18,6.333150440857143,10.80532113,both
1505551,Pau D'Arco,PA,20,10.47168446,10.85967746,both
1505601,Peixe-Boi,PA,12,4.671222520000001,4.97792745,both
1505635,Piçarra,PA,18,7.924153600625,8.97945514,both
1505650,Placas,PA,16,4.661278497692307,7.46423702,both
1505700,Ponta de Pedras,PA,22,7.463867373125,10.71153532,both
1505809,Portel,PA,16,6.249953417443609,9.37093342,both
1505908,Porto de Moz,PA,10,4.185936766703297,5.66512674,both
1506005,Prainha,PA,10,3.675493131948052,5.2840691,both
1506104,Primavera,PA,8,2.73298255,2.73298255,both
