CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,ng_medio,ng_min,ng_max,n_pontos
1100015,Alta Floresta D'Oeste,RO,7067.127,7.897374419722222,5.53951573,9.11323369,36.0
1100023,Ariquemes,RO,4426.571,6.94165575875,6.30134937,7.64786569,24.0
1100031,Cabixi,RO,1314.352,6.424304934285715,5.90480158,7.27244083,7.0
1100049,Cacoal,RO,3793.0,6.333935008,5.90733633,6.86659895,20.0
1100056,Cerejeiras,RO,2783.3,8.642997051428571,6.73563679,9.61257973,14.0
1100064,Colorado do Oeste,RO,1451.06,7.3190168875,6.8806809,8.44377766,8.0
1100072,Corumbiara,RO,3060.321,8.021757178333333,6.90349367,9.47260512,18.0
1100080,Costa Marques,RO,4987.177,4.835972566875,3.21824664,7.78615046,32.0
1100098,Espigão D'Oeste,RO,4518.038,6.146952491666667,5.18605871,6.83646357,24.0
1100106,Guajará-Mirim,RO,24856.877,6.143587028947368,3.17881717,9.61145317,133.0
1100114,Jaru,RO,2944.128,6.96225061375,6.07603813,8.1015862,16.0
1100122,Ji-Paraná,RO,6896.649,7.060470381578947,5.83439182,8.94058895,38.0
1100130,Machadinho D'Oeste,RO,8509.27,7.571895050851063,5.08607685,11.32719829,47.0
1100148,Nova Brasilândia D'Oeste,RO,1703.008,6.6606503925,6.25290745,7.04656631,8.0
1100155,Ouro Preto do Oeste,RO,1969.85,7.839450654166666,6.87392157,9.08169011,12.0
1100189,Pimenta Bueno,RO,6241.016,6.557043492121212,5.23534555,7.83459238,33.0
1100205,Porto Velho,RO,34090.952,7.995178123870967,4.75965718,10.37018879,186.0
1100254,Presidente Médici,RO,1758.465,7.481029753750001,6.95052739,8.17847367,8.0
1100262,Rio Crespo,RO,1717.64,7.645274609,7.34960993,7.8585317,10.0
1100288,Rolim de Moura,RO,1457.811,6.210041989,5.76510861,7.04543975,10.0
1100296,Santa Luzia D'Oeste,RO,1197.796,7.294173975,6.25656876,8.19987823,6.0
1100304,Vilhena,RO,11699.15,7.06369550147541,5.1838056,9.48950346,61.0
1100320,São Miguel do Guaporé,RO,7460.117,6.995362951951219,5.97098676,8.27732897,41.0
1100338,Nova Mamoré,RO,10070.49,7.092007685192308,5.51585805,10.09925202,52.0
1100346,Alvorada D'Oeste,RO,3029.189,7.259313318333333,6.19545308,8.90848209,18.0
1100379,Alto Alegre dos Parecis,RO,3958.273,8.168462677272727,7.17189569,9.17801067,22.0
1100403,Alto Paraíso,RO,2651.822,6.904507567333334,5.97352151,8.17453072,15.0
1100452,Buritis,RO,3265.809,8.096168005238095,7.14429506,9.5849791,21.0
1100502,Novo Horizonte do Oeste,RO,843.446,6.775460554,6.26783432,7.2679346,5.0
1100601,Cacaulândia,RO,1961.778,6.08474727,5.59781501,6.64663885,13.0
1100700,Campo Novo de Rondônia,RO,3442.005,6.985935677222222,6.46329182,8.02047416,18.0
1100809,Candeias do Jamari,RO,6843.868,8.320323186571429,6.43653611,9.58666894,35.0
1100908,Castanheiras,RO,892.841,6.635795745,6.3326113,7.04994598,4.0
1100924,Chupinguaia,RO,5126.723,7.608079476666666,6.18221605,9.1760392,30.0
1100940,Cujubim,RO,3863.946,7.889204754090909,7.45184491,8.4296957,22.0
1101005,Governador Jorge Teixeira,RO,5067.384,6.131435302173913,5.29279991,7.10514723,23.0
1101104,Itapuã do Oeste,RO,4081.58,8.05404285,7.4907111,8.81019006,21.0
1101203,Ministro Andreazza,RO,798.083,7.111906563333332,6.99727947,7.24061561,3.0
1101302,Mirante da Serra,RO,1191.875,7.829072256000001,6.67846406,8.55220869,5.0
1101401,Monte Negro,RO,1931.378,6.96552466875,6.10194892,8.00329417,8.0
1101435,Nova União,RO,807.125,7.5525308675,7.1690793,7.75010066,4.0
1101450,Parecis,RO,2548.683,7.49855366,6.87307665,8.30887255,13.0
1101468,Pimenteiras do Oeste,RO,6014.733,7.872178392424242,6.39372698,9.37065178,33.0
1101476,Primavera de Rondônia,RO,605.692,6.838364635,6.53905273,7.05163581,4.0
1101484,São Felipe D'Oeste,RO,541.647,6.5397098866666665,6.0073182,7.04403155,3.0
1101492,São Francisco do Guaporé,RO,10948.593,6.074782683728814,4.60672718,8.73245769,59.0
1101500,Seringueiras,RO,3773.505,6.486564104210527,5.50825379,8.10383932,19.0
1101559,Teixeirópolis,RO,459.978,8.16636319,7.9010592,8.43166718,2.0
1101609,Theobroma,RO,2197.413,7.533136177272727,6.89053827,7.92894146,11.0
1101708,Urupá,RO,831.857,7.6924350675,7.41692166,7.94555817,4.0
1101757,Vale do Anari,RO,3135.106,6.659513777857143,5.22914949,7.66589059,14.0
1101807,Vale do Paraíso,RO,965.676,7.285879035714286,7.05417056,7.51211566,7.0
1200013,Acrelândia,AC,1811.613,7.369230783333332,7.21104351,7.48535995,9.0
1200054,Assis Brasil,AC,4979.073,6.439469045862069,4.77711881,8.10721899,29.0
1200104,Brasiléia,AC,3928.174,6.311417963999999,4.97567434,7.63462865,20.0
1200138,Bujari,AC,3034.869,6.170105568823529,5.62485236,7.01643093,17.0
1200179,Capixaba,AC,1705.824,5.0515917111111115,4.16877845,5.88198882,9.0
1200203,Cruzeiro do Sul,AC,8783.47,5.524071560408164,4.4518257,7.64166963,49.0
1200252,Epitaciolândia,AC,1652.674,6.00503948,5.50290265,6.51821144,11.0
1200302,Feijó,AC,27976.874,5.676229541493506,3.46665229,8.60036897,154.0
1200328,Jordão,AC,5357.227,4.526920058666667,3.4674972,5.48008989,30.0
1200336,Mâncio Lima,AC,5451.617,5.514116057407408,3.81391324,7.38228006,27.0
1200344,Manoel Urbano,AC,10630.6,5.198485419298246,3.56578923,6.75478825,57.0
1200351,Marechal Thaumaturgo,AC,8190.953,5.18212231627907,4.02824056,6.26248318,43.0
1200385,Plácido de Castro,AC,1952.555,6.306731803333333,5.5479649,6.99277325,9.0
1200393,Porto Walter,AC,6446.385,5.776640587297297,4.5715223,7.06402793,37.0
1200401,Rio Branco,AC,8835.154,5.673305773061225,4.4878755,7.80276717,49.0
1200427,Rodrigues Alves,AC,3076.342,5.592701037894737,3.81644799,7.81262453,19.0
1200435,Santa Rosa do Purus,AC,6155.858,5.042818850625,3.72040907,5.97661954,32.0
1200450,Senador Guiomard,AC,2320.169,7.102537375333333,5.75243485,8.39815213,15.0
1200500,Sena Madureira,AC,23759.512,5.92653284936,4.35803989,7.9176759,125.0
1200609,Tarauacá,AC,20169.485,5.279694310761905,3.69280845,8.04469512,105.0
1200708,Xapuri,AC,5350.586,4.798610033076923,4.13610832,5.48177972,26.0
1200807,Porto Acre,AC,2604.417,7.189562134545454,6.51905636,7.69715252,11.0
1300029,Alvarães,AM,5923.461,9.350173898387096,8.52545298,11.46998929,31.0
1300060,Amaturá,AM,4754.109,8.0875155168,7.29469031,9.31516889,25.0
1300086,Anamã,AM,2446.121,11.551556297692308,10.8664368,12.25801537,13.0
1300102,Anori,AM,6036.38,11.8595738,8.73161277,15.98691645,29.0
1300144,Apuí,AM,54240.545,9.693295361746575,6.44245053,13.30148806,292.0
1300201,Atalaia do Norte,AM,76507.617,6.80122063068796,3.9102338,11.04161629,407.0
1300300,Autazes,AM,7652.852,10.101450175365853,7.12148229,12.50022496,41.0
1300409,Barcelos,AM,122461.086,7.326717134549689,3.61930065,11.75528966,644.0
1300508,Barreirinha,AM,5751.765,9.287324175,6.45146298,11.37704841,30.0
1300607,Benjamin Constant,AM,8705.441,7.619221716363636,4.59039211,10.70336779,44.0
1300631,Beruri,AM,17472.779,13.350057461473686,8.36773511,17.68942453,95.0
1300680,Boa Vista do Ramos,AM,2589.407,9.96478216909091,8.69302822,10.78194508,11.0
1300706,Boca do Acre,AM,21938.583,5.926053189051724,4.37409332,8.22353591,116.0
1300805,Borba,AM,44236.184,10.17623213887446,6.69620732,14.89049561,231.0
1300839,Caapiranga,AM,9455.539,11.187748305294116,8.99325545,13.71662403,51.0
1300904,Canutama,AM,33642.732,8.427757643954802,6.76042103,10.48509752,177.0
1301001,Carauari,AM,25778.658,8.426284506716417,6.31571296,10.77321427,134.0
1301100,Careiro,AM,6096.212,13.153379056764706,11.26608262,15.20564971,34.0
1301159,Careiro da Várzea,AM,2627.474,10.82685568076923,9.56526437,11.85498988,13.0
1301209,Coari,AM,57970.768,10.040958219025974,6.65734113,13.26909957,308.0
1301308,Codajás,AM,18700.713,11.829903470208334,8.2471936,16.81718838,96.0
1301407,Eirunepé,AM,14966.242,5.848329515121951,4.36057464,7.43241181,82.0
1301506,Envira,AM,7505.794,6.967559509999999,4.94891863,9.23715487,40.0
1301605,Fonte Boa,AM,12155.427,8.21375335796875,6.74126957,10.32287343,64.0
1301654,Guajará,AM,7583.534,5.523772824871795,4.01415861,8.566009,39.0
1301704,Humaitá,AM,33111.129,8.981222067877095,6.339089,12.61006419,179.0
1301803,Ipixuna,AM,12109.779,6.325345016615385,4.56673443,7.85515203,65.0
1301852,Iranduba,AM,2216.817,12.750714730999999,10.99317438,14.63842866,10.0
1301902,Itacoatiara,AM,8891.906,8.561868311702128,6.56327369,12.26674618,47.0
1301951,Itamarati,AM,25260.429,6.364495010692308,4.90948916,8.64824761,130.0
1302009,Itapiranga,AM,4335.075,6.3117316086363635,5.6237258,7.5022583,22.0
1302108,Japurá,AM,55827.203,8.064801169372938,5.76229222,10.5642381,303.0
1302207,Juruá,AM,19442.548,8.678017899907408,6.68437848,11.05766972,108.0
1302306,Jutaí,AM,69457.415,7.309978200243902,4.54279511,9.3844521,369.0
1302405,Lábrea,AM,68262.68,6.49674217154054,3.88713939,9.5337208,370.0
1302504,Manacapuru,AM,7336.579,12.6240475655,10.33329407,14.45113868,40.0
1302553,Manaquiri,AM,3973.258,14.543167599047619,12.03833691,16.00916593,21.0
1302603,Manaus,AM,11401.092,13.61410741516129,7.7878403,18.51772499,62.0
1302702,Manicoré,AM,48315.038,9.96844656614786,6.4652633,13.25896057,257.0
1302801,Maraã,AM,16830.827,10.024581713404254,7.35496107,12.2416803,94.0
1302900,Maués,AM,39991.066,10.916633040233645,7.46508194,13.34486048,214.0
1303007,Nhamundá,AM,14107.04,5.708206687435897,3.68407764,9.56019487,78.0
1303106,Nova Olinda do Norte,AM,5578.132,9.72768269862069,8.63501057,11.91948523,29.0
1303205,Novo Airão,AM,37776.77,10.382255829452737,7.36003057,15.71091018,201.0
1303304,Novo Aripuanã,AM,41179.656,9.100511908525345,6.1898203,12.34109889,217.0
1303403,Parintins,AM,5956.047,9.002487930625,3.17938045,11.76486538,32.0
1303502,Pauini,AM,41624.664,5.979091424553571,4.24059641,8.85525231,224.0
1303536,Presidente Figueiredo,AM,25459.099,7.92728292288889,5.0756562,10.85742435,135.0
1303569,Rio Preto da Eva,AM,5815.622,10.061033598333333,7.99878795,14.16358521,30.0
1303601,Santa Isabel do Rio Negro,AM,62800.078,7.3870105835029936,3.7854677,11.53363972,334.0
1303700,Santo Antônio do Içá,AM,12366.214,8.04256962,5.77806401,11.62235602,64.0
1303809,São Gabriel da Cachoeira,AM,109192.562,7.83013301405546,5.03904313,11.91328917,577.0
1303908,São Paulo de Olivença,AM,19658.502,7.405106362596154,5.13564532,10.20768305,104.0
1303957,São Sebastião do Uatumã,AM,10647.463,6.056949795172414,4.58757572,8.83074972,58.0
1304005,Silves,AM,3723.382,7.4643355965,5.82537937,8.61163453,20.0
1304062,Tabatinga,AM,3260.103,8.356798125555555,7.67574795,9.16280216,18.0
1304104,Tapauá,AM,84946.035,8.449687068422223,6.06758895,13.70310536,450.0
1304203,Tefé,AM,23692.223,9.415436793046876,6.64973688,12.58161864,128.0
1304237,Tonantins,AM,6446.894,8.678272038787878,6.87842779,11.57870197,33.0
1304260,Uarini,AM,10274.677,9.876425232321427,8.36238397,12.24139866,56.0
1304302,Urucará,AM,27901.962,5.391974282237762,3.93107509,7.98076305,143.0
1304401,Urucurituba,AM,2886.494,7.996939693125,5.41897421,9.80831887,16.0
1400027,Amajari,RR,28473.45,3.846756109133333,1.86778737,6.80069541,150.0
1400050,Alto Alegre,RR,25454.297,2.9217383243181816,1.05441379,5.16859709,132.0
1400100,Boa Vista,RR,5687.037,3.1943601284375003,1.72555965,5.13311057,32.0
1400159,Bonfim,RR,8079.914,3.118440800208333,1.17889825,5.05847622,48.0
1400175,Cantá,RR,7664.831,4.792134976585365,3.13657131,5.70258474,41.0
1400209,Caracaraí,RR,47379.903,6.217845085301205,3.44806411,11.38099135,249.0
1400233,Caroebe,RR,12065.896,4.94279823477612,3.20529124,7.29469031,67.0
1400282,Iracema,RR,14011.695,3.7194727157142857,1.40082982,5.96000283,77.0
1400308,Mucajaí,RR,12337.851,4.13494276676923,2.73636222,5.44657484,65.0
1400407,Normandia,RR,6959.868,1.7878171070270272,0.96485257,3.78631261,37.0
1400456,Pacaraima,RR,8025.045,3.802278865238095,2.35192491,5.3936267,42.0
1400472,Rorainópolis,RR,33579.739,7.479810562290503,4.86386364,11.82429122,179.0
1400506,São João da Baliza,RR,4284.505,6.727989207307692,4.91033408,7.83093107,26.0
1400605,São Luiz,RR,1526.898,6.405435115714285,5.38376933,7.36510008,7.0
1400704,Uiramutã,RR,8113.598,2.0650853572093024,0.90261034,3.72463366,43.0
1500107,Abaetetuba,PA,1610.654,11.62577089625,9.84014409,12.73370373,8.0
1500131,Abel Figueiredo,PA,614.131,6.593901935,6.08589549,7.21442318,4.0
1500206,Acará,PA,4344.384,11.609001636666667,10.6464767,13.75746169,24.0
1500305,Afuá,PA,8338.438,5.327854152093023,2.06296324,10.72646219,43.0
